
android.animation.PropertyValuesHolder|nCallTwoFloatMethod|java.lang.Object, long, float, float|void

objfileName: 1701052528195.obj

android.animation.PropertyValuesHolder|nCallTwoFloatMethod

android.animation.PropertyValuesHolder|nCallTwoFloatMethod|2023-11-27 13:35:06
11-27 02:35:28.231  4486  4509 I app_process64: ==4486==ERROR: HWAddressSanitizer: tag-mismatch on address 0x007c6f448f30 at pc 0x007cd5dd1398
11-27 02:35:28.231  4486  4509 I app_process64: READ of size 8 at 0x007c6f448f30 tags: 00/64 (ptr/mem) in thread T89808
11-27 02:35:28.247  4486  4509 I app_process64:     #0 0x7cd5dd1394  (/apex/com.android.runtime/lib64/libart.so+0x923394)
11-27 02:35:28.247  4486  4509 I app_process64:     #1 0x7cd5725e9c  (/apex/com.android.runtime/lib64/libart.so+0x277e9c)
11-27 02:35:28.247  4486  4509 I app_process64:     #2 0x7cd57257ec  (/apex/com.android.runtime/lib64/libart.so+0x2777ec)
11-27 02:35:28.247  4486  4509 I app_process64:     #3 0x641dd69968  (/system/bin/app_process64+0x6968)
11-27 02:35:28.247  4486  4509 I app_process64:     #4 0x7cdd6788bc  ([vdso]+0x8bc)
11-27 02:35:28.247  4486  4509 I app_process64:     #5 0x7cd59e2b3c  (/apex/com.android.runtime/lib64/libart.so+0x534b3c)
11-27 02:35:28.247  4486  4509 I app_process64:     #6 0x7cd59e0d6c  (/apex/com.android.runtime/lib64/libart.so+0x532d6c)
11-27 02:35:28.247  4486  4509 I app_process64:     #7 0x7cd59dfdb8  (/apex/com.android.runtime/lib64/libart.so+0x531db8)
11-27 02:35:28.247  4486  4509 I app_process64:     #8 0x7cd59e9258  (/apex/com.android.runtime/lib64/libart.so+0x53b258)
11-27 02:35:28.247  4486  4509 I app_process64:     #9 0x7cd59e7550  (/apex/com.android.runtime/lib64/libart.so+0x539550)
11-27 02:35:28.247  4486  4509 I app_process64:     #10 0x7cd59c7e18  (/apex/com.android.runtime/lib64/libart.so+0x519e18)
11-27 02:35:28.247  4486  4509 I app_process64:     #11 0x7cd8cb4b5c  (/system/lib64/libandroid_runtime.so+0xe0b5c)
11-27 02:35:28.247  4486  4509 I app_process64:     #12 0x710eb6f4  (/system/framework/arm64/boot-framework.oat+0x2886f4)
11-27 02:35:28.247  4486  4509 I app_process64: 
11-27 02:35:28.248  4486  4509 I app_process64: Address 0x007c6f448f30 is located in stack of thread T89808
11-27 02:35:28.248  4486  4509 I app_process64: Thread: T89808 0x00734629a000 stack: [0x007c6f348000,0x007c6f44cd50) sz: 1068368 tls: [0x000000000000,0x000000000000)
11-27 02:35:28.248  4486  4509 I app_process64: Previously allocated frames:
11-27 02:35:28.248  4486  4509 I app_process64:  sp: 0x2e880 #0 0x7cd5dd12b4  (/apex/com.android.runtime/lib64/libart.so+0x9232b4)
11-27 02:35:28.248  4486  4509 I app_process64:  sp: 0x2eb00 #0 0x7cd5725c14  (/apex/com.android.runtime/lib64/libart.so+0x277c14)
11-27 02:35:28.248  4486  4509 I app_process64:  sp: 0x2ebd0 #0 0x7cd5725724  (/apex/com.android.runtime/lib64/libart.so+0x277724)
11-27 02:35:28.248  4486  4509 I app_process64:  sp: 0x2ea40 #0 0x641dd6a74c  (/system/bin/app_process64+0x774c)
11-27 02:35:28.248  4486  4509 I app_process64:  sp: 0x2eae0 #0 0x641dd6a544  (/system/bin/app_process64+0x7544)
11-27 02:35:28.248  4486  4509 I app_process64:  sp: 0x2eb60 #0 0x641dd6a74c  (/system/bin/app_process64+0x774c)
11-27 02:35:28.248  4486  4509 I app_process64:  sp: 0x2ebd0 #0 0x641dd6a408  (/system/bin/app_process64+0x7408)
11-27 02:35:28.248  4486  4509 I app_process64:  sp: 0x2ed90 #0 0x641dd694f8  (/system/bin/app_process64+0x64f8)
11-27 02:35:28.248  4486  4509 I app_process64:  sp: 0x48f90 #0 0x7cd59e2aa4  (/apex/com.android.runtime/lib64/libart.so+0x534aa4)
11-27 02:35:28.248  4486  4509 I app_process64:  sp: 0x491d0 #0 0x7cd59e09ac  (/apex/com.android.runtime/lib64/libart.so+0x5329ac)
